manufacturer id,manufacturer name,slug,generics count,brand names count
2,ACI Limited,aci-limited-2,367,701
3,ACME Laboratories Ltd.,acme-laboratories-ltd-3,472,786
103,Ad-din Pharmaceuticals Ltd.,ad-din-pharmaceuticals-ltd-103,69,103
114,Aexim Pharmaceuticals Ltd.,aexim-pharmaceuticals-ltd-114,34,43
292,Al-Madina Pharmaceuticals Ltd.,al-madina-pharmaceuticals-ltd-292,48,75
4,Alco Pharma Ltd.,alco-pharma-ltd-4,106,178
304,Alien Pharma,alien-pharma-304,3,3
245,Alkad Laboratories,alkad-laboratories-245,13,14
115,Allied Pharmaceuticals Ltd.,allied-pharmaceuticals-ltd-115,7,10
5,Ambee Pharmaceuticals Ltd.,ambee-pharmaceuticals-ltd-5,68,113
6,Amico Laboratories Ltd.,amico-laboratories-ltd-6,87,123
7,Amulet Pharmaceuticals Ltd.,amulet-pharmaceuticals-ltd-7,35,51
128,APC Pharma Ltd.,apc-pharma-ltd-128,27,41
8,Apex Pharmaceuticals Ltd.,apex-pharmaceuticals-ltd-8,76,114
9,Apollo Pharmaceutical Ltd.,apollo-pharmaceutical-ltd-9,37,48
258,AqVida bangladesh,aqvida-bangladesh-258,5,7
289,Arges Life Science Limited,arges-life-science-limited-289,2,2
10,Aristopharma Ltd.,aristopharma-ltd-10,307,500
81,Asiatic Laboratories Ltd.,asiatic-laboratories-ltd-81,93,149
11,Astra Biopharmaceuticals Ltd.,astra-biopharmaceuticals-ltd-11,54,87
246,Aztec Pharmaceuticals Ltd.,aztec-pharmaceuticals-ltd-246,14,16
236,Bangladesh Immunity Co,bangladesh-immunity-co-236,1,2
13,Beacon Pharmaceuticals Ltd.,beacon-pharmaceuticals-ltd-13,231,370
110,Belsen Pharmaceuticals Ltd.,belsen-pharmaceuticals-ltd-110,17,21
169,Bengal drugs Ltd.,bengal-drugs-ltd-169,16,22
107,Benham Pharmaceuticals Ltd.,benham-pharmaceuticals-ltd-107,83,129
14,Beximco Pharmaceuticals Ltd.,beximco-pharmaceuticals-ltd-14,380,691
102,Biogen Pharmaceuticals Ltd.,biogen-pharmaceuticals-ltd-102,29,32
15,Biopharma Laboratories Ltd.,biopharma-laboratories-ltd-15,174,298
191,BOTS Pvt. Limited,bots-pvt-limited-191,12,14
16,Bristol Pharmaceuticals Ltd.,bristol-pharmaceuticals-ltd-16,61,87
336,Bronson  Laboratories (BD) Ltd.,bronson-laboratories-bd-ltd-336,5,5
273,Centeon Pharma Ltd.,centeon-pharma-ltd-273,16,22
171,Central Pharmaceuticals Ltd.,central-pharmaceuticals-ltd-171,45,55
18,Chemist Laboratories  Ltd.,chemist-laboratories-ltd-18,99,131
174,City Overseas Ltd.,city-overseas-ltd-174,20,22
19,Concord Pharmaceuticals Ltd.,concord-pharmaceuticals-ltd-19,74,124
153,Cosmic Pharma Ltd.,cosmic-pharma-ltd-153,57,76
117,Cosmo Pharma Ltd.,cosmo-pharma-ltd-117,32,41
276,Credence Pharmaceuticals Ltd.,credence-pharmaceuticals-ltd-276,15,20
146,Crystal Pharmaceuticals Ltd.,crystal-pharmaceuticals-ltd-146,1,1
278,D16 Pharma & Biotec,d16-pharma-biotec-278,25,41
330,DBL Pharmaceuticals Ltd.,dbl-pharmaceuticals-ltd-330,13,16
101,Decent Pharma Laboratories Ltd.,decent-pharma-laboratories-ltd-101,25,32
83,Delta Pharma Ltd.,delta-pharma-ltd-83,96,152
22,Desh Pharmaceuticals Ltd.,desh-pharmaceuticals-ltd-22,59,91
24,Doctor TIMS Pharmaceuticals Ltd.,doctor-tims-pharmaceuticals-ltd-24,54,66
23,Doctor’s Chemical Works Ltd.,doctors-chemical-works-ltd-23,69,105
25,Drug International Ltd.,drug-international-ltd-25,391,648
197,Eastern Pharmaceuticals Ltd.,eastern-pharmaceuticals-ltd-197,1,1
119,Edruc Ltd.,edruc-ltd-119,107,154
183,Eli Lilly and Company,eli-lilly-and-company-183,1,2
26,Elixir Pharmaceuticals Ltd.,elixir-pharmaceuticals-ltd-26,2,2
305,Empiric Laboratories Ltd.,empiric-laboratories-ltd-305,1,1
27,Eskayef Pharmaceuticals Ltd.,eskayef-pharmaceuticals-ltd-27,393,706
157,Ethical Drug Ltd.,ethical-drug-ltd-157,60,104
121,Euro Pharma Ltd.,euro-pharma-ltd-121,91,153
127,Everest Pharmaceuticals Ltd.,everest-pharmaceuticals-ltd-127,55,74
296,Fabrique en France,fabrique-en-france-296,1,1
266,FnF Pharmaceuticals Ltd.,fnf-pharmaceuticals-ltd-266,4,4
137,Gaco Pharmaceuticals Ltd.,gaco-pharmaceuticals-ltd-137,114,163
29,General Pharmaceuticals Ltd.,general-pharmaceuticals-ltd-29,264,429
30,Genvio Pharma Ltd.,genvio-pharma-ltd-30,20,29
267,Get Well Ltd.,get-well-ltd-267,5,13
52,GlaxoSmithKline,glaxosmithkline-52,68,98
31,Globe Pharmaceuticals Ltd.,globe-pharmaceuticals-ltd-31,167,280
120,Globex Pharmaceuticals Ltd.,globex-pharmaceuticals-ltd-120,31,46
32,Gonoshasthaya Pharma Ltd.,gonoshasthaya-pharma-ltd-32,89,148
268,Goodman Pharmaceuticals Ltd.,goodman-pharmaceuticals-ltd-268,12,18
212,Greenland Pharmaceuticals Ltd.,greenland-pharmaceuticals-ltd-212,2,2
261,Guardian Healthcare Ltd.,guardian-healthcare-ltd-261,23,29
100,Hallmark Pharmaceuticals Ltd.,hallmark-pharmaceuticals-ltd-100,43,63
85,Healthcare Pharmaceuticals Ltd.,healthcare-pharmaceuticals-ltd-85,259,478
33,Hudson Pharmaceuticals Ltd.,hudson-pharmaceuticals-ltd-33,66,96
35,Ibn Sina Pharmaceuticals Ltd.,ibn-sina-pharmaceuticals-ltd-35,282,464
106,Incepta Pharmaceuticals Ltd.,incepta-pharmaceuticals-ltd-106,691,1184
99,Indo Bangla Pharmaceutical,indo-bangla-pharmaceutical-99,28,38
108,Innova Pharma (Albion),innova-pharma-albion-108,48,83
217,Institute of Public Health (IPH),institute-of-public-health-iph-217,6,8
290,International Agencies (Bd.) Limited,international-agencies-bd-limited-290,6,9
176,Janata Traders,janata-traders-176,23,33
37,Jayson Pharmaceuticals Ltd.,jayson-pharmaceuticals-ltd-37,123,202
39,Jenphar Bangladesh Ltd.,jenphar-bangladesh-ltd-39,75,126
205,Kawsar Chemicals,kawsar-chemicals-205,1,2
116,Kemiko Pharmaceuticals Ltd.,kemiko-pharmaceuticals-ltd-116,134,208
136,Kumudini Pharma Ltd.,kumudini-pharma-ltd-136,81,122
40,Labaid Pharma Ltd.,labaid-pharma-ltd-40,52,104
275,Legends Pharma,legends-pharma-275,12,13
129,Leon Pharmaceuticals Ltd.,leon-pharmaceuticals-ltd-129,62,98
41,Libra Infusions Ltd.,libra-infusions-ltd-41,9,16
269,Libra Pharmaceuticls Ltd.,libra-pharmaceuticls-ltd-269,3,5
279,Marie Stopes Bangladesh,marie-stopes-bangladesh-279,1,1
131,Marker Pharma Ltd.,marker-pharma-ltd-131,29,37
109,Marksman Pharmaceuticals Ltd.,marksman-pharmaceuticals-ltd-109,19,25
42,Medicon Pharmaceuticals Ltd.,medicon-pharmaceuticals-ltd-42,89,116
43,Medimet Pharmaceuticals Ltd.,medimet-pharmaceuticals-ltd-43,76,135
263,MedRx Life Science Ltd.,medrx-life-science-ltd-263,14,20
303,MicroMed,micromed-303,1,1
44,Millat Pharmaceuticals Ltd.,millat-pharmaceuticals-ltd-44,46,72
45,Modern Pharmaceuticals Ltd.,modern-pharmaceuticals-ltd-45,44,65
206,Momotaz Pharmaceuticals Ltd.,momotaz-pharmaceuticals-ltd-206,4,4
123,Monicopharma Ltd.,monicopharma-ltd-123,71,101
170,MST Pharma,mst-pharma-170,29,35
143,Mundipharma (BD) Pvt. Ltd.,mundipharma-bd-pvt-ltd-143,13,24
46,Mystic Pharmaceuticals Ltd.,mystic-pharmaceuticals-ltd-46,27,37
251,Naafco Pharma Ltd.,naafco-pharma-ltd-251,24,34
47,Navana Pharmaceuticals Ltd.,navana-pharmaceuticals-ltd-47,185,318
327,NEMUS Pharmaceutical Pvt. Ltd.,nemus-pharmaceutical-pvt-ltd-327,1,1
53,Nipa Pharmaceuticals Ltd.,nipa-pharmaceuticals-ltd-53,74,94
48,NIPRO JMI Pharma Ltd.,nipro-jmi-pharma-ltd-48,106,194
51,Novartis (Bangladesh) Ltd.,novartis-bangladesh-ltd-51,44,81
49,Novelta Bestway Pharma Ltd.,novelta-bestway-pharma-ltd-49,30,44
133,Novo Healthcare and Pharma Ltd.,novo-healthcare-and-pharma-ltd-133,65,101
186,Novo Nordisk Pharma (Pvt.) Ltd,novo-nordisk-pharma-pvt-ltd-186,11,24
50,Novus Pharmaceuticals Ltd.,novus-pharmaceuticals-ltd-50,21,26
122,Nuvista Pharma Ltd.,nuvista-pharma-ltd-122,68,100
207,One Pharma Ltd.,one-pharma-ltd-207,50,85
55,Opso Saline Ltd.,opso-saline-ltd-55,106,153
56,Opsonin Pharma Ltd.,opsonin-pharma-ltd-56,459,886
260,Orbit Pharmaceuticals Ltd.,orbit-pharmaceuticals-ltd-260,30,39
124,Organic Health Care,organic-health-care-124,51,78
173,Orion Infusion Ltd.,orion-infusion-ltd-173,16,25
58,Orion Pharma Ltd.,orion-pharma-ltd-58,135,235
118,Oyster Pharmaceuticals Ltd.,oyster-pharmaceuticals-ltd-118,9,10
145,Pacific Pharmaceuticals Ltd.,pacific-pharmaceuticals-ltd-145,169,279
59,Peoples Pharma Ltd.,peoples-pharma-ltd-59,24,31
175,Pfizer,pfizer-175,1,1
195,Pharmacil Limited,pharmacil-limited-195,4,8
60,Pharmadesh Laboratories Ltd.,pharmadesh-laboratories-ltd-60,93,140
112,Pharmasia Limited,pharmasia-limited-112,102,175
202,Pharmik Laboratories Ltd.,pharmik-laboratories-ltd-202,14,16
262,Phoenix Chemical Laboratory,phoenix-chemical-laboratory-262,8,8
87,Popular Pharmaceuticals Ltd.,popular-pharmaceuticals-ltd-87,328,498
201,Premier Pharmaceuticals Ltd.,premier-pharmaceuticals-ltd-201,33,42
88,Prime Pharmaceuticals Ltd.,prime-pharmaceuticals-ltd-88,14,15
280,Purnava Limited,purnava-limited-280,6,6
253,Quality Pharmaceuticals Ltd.,quality-pharmaceuticals-ltd-253,6,6
331,Radiant Nutraceuticals Ltd.,radiant-nutraceuticals-ltd-331,20,26
62,Radiant Pharmaceuticals Ltd.,radiant-pharmaceuticals-ltd-62,105,175
147,Rangs Pharmaceuticals Ltd.,rangs-pharmaceuticals-ltd-147,75,138
161,Reckitt & Benckiser Ltd.,reckitt-benckiser-ltd-161,4,6
130,Reliance Pharmaceuticals Ltd.,reliance-pharmaceuticals-ltd-130,33,43
63,Reman Drug Laboratories Ltd.,reman-drug-laboratories-ltd-63,68,88
64,Renata Limited,renata-limited-64,256,461
66,Rephco Pharmaceuticals Ltd.,rephco-pharmaceuticals-ltd-66,96,145
338,River Pharma,river-pharma-338,2,2
259,RN Pharmaceuticals,rn-pharmaceuticals-259,8,8
67,Roche Bangladesh Ltd.,roche-bangladesh-ltd-67,17,26
335,Royal Pharmaceutical Ltd.,royal-pharmaceutical-ltd-335,8,8
135,S.N. Pharmaceutical Ltd.,sn-pharmaceutical-ltd-135,17,19
68,Salton Pharmaceuticals Ltd.,salton-pharmaceuticals-ltd-68,23,30
168,SANDOZ (A Novartis Division),sandoz-a-novartis-division-168,63,103
132,Seba Laboratories Ltd.,seba-laboratories-ltd-132,1,1
69,Seema Pharmaceuticals Ltd.,seema-pharmaceuticals-ltd-69,52,76
172,Servier Bangladesh Operation,servier-bangladesh-operation-172,8,12
90,Sharif Pharmaceuticals Ltd.,sharif-pharmaceuticals-ltd-90,90,136
159,Silco Pharmaceutical Ltd.,silco-pharmaceutical-ltd-159,62,92
94,Silva Pharmaceuticals Ltd.,silva-pharmaceuticals-ltd-94,77,127
70,Skylab Pharmaceuticals Ltd.,skylab-pharmaceuticals-ltd-70,13,19
216,Social Marketing Company,social-marketing-company-216,27,34
125,Somatec Pharmaceuticals Ltd.,somatec-pharmaceuticals-ltd-125,74,123
72,Sonear Laboratories Ltd.,sonear-laboratories-ltd-72,21,29
73,Square Pharmaceuticals Ltd.,square-pharmaceuticals-ltd-73,586,950
139,Sun Pharmaceutical Ltd.,sun-pharmaceutical-ltd-139,63,132
256,Sunman-Birdem Pharma Ltd.,sunman-birdem-pharma-ltd-256,41,65
138,Supreme Pharmaceutical Ltd.,supreme-pharmaceutical-ltd-138,55,77
89,Synovia pharma plc,synovia-pharma-plc-89,93,201
134,Syntho Laboratories Ltd.,syntho-laboratories-ltd-134,14,17
255,Team Pharmaceuticals Ltd.,team-pharmaceuticals-ltd-255,66,100
95,Techno Drugs Ltd.,techno-drugs-ltd-95,144,227
96,The White Horse Pharma,the-white-horse-pharma-96,86,120
76,Therapeutics Bangladesh Ltd.,therapeutics-bangladesh-ltd-76,1,1
316,Total Natural Company,total-natural-company-316,1,1
97,Ultra Pharma Ltd.,ultra-pharma-ltd-97,3,3
77,UniMed UniHealth,unimed-unihealth-77,248,436
204,Unique Pharmaceuticals Ltd.,unique-pharmaceuticals-ltd-204,1,1
142,United Pharmaceuticals Ltd.,united-pharmaceuticals-ltd-142,39,48
126,Veritas Pharmaceuticals Ltd.,veritas-pharmaceuticals-ltd-126,59,84
158,Virgo Pharmaceuticals Ltd.,virgo-pharmaceuticals-ltd-158,46,67
